departure,arrival,time_of_year,price
DAL,OMA,2026.5,199.48369999999989
DFW,OMA,2026.5,250.8575999999999
DAL,MKE,2026.5,215.3309000000001
DFW,MKE,2026.5,258.2186000000001
DAL,MSY,2026.5,180.7233999999997
DFW,MSY,2026.5,208.82239999999976
DAL,SAN,2026.5,228.5537000000001
DFW,SAN,2026.5,256.5740999999996
DAL,ORF,2026.5,237.24369999999985
DFW,ORF,2026.5,279.9655000000002
DFW,PHF,2026.5,396.8818
DAL,PNS,2026.5,210.84819999999985
DFW,PNS,2026.5,252.4294
DAL,PBI,2026.5,266.1200000000006
DFW,PBI,2026.5,368.3509
DAL,PDX,2026.5,268.82409999999965
DFW,PDX,2026.5,306.0699000000001
DAL,PHL,2026.5,250.37189999999987
DFW,PHL,2026.5,266.5280000000002
DAL,RDU,2026.5,224.6491000000001
DFW,RDU,2026.5,275.8916000000001
DAL,RIC,2026.5,264.30270000000013
DFW,RIC,2026.5,326.23429999999973
DAL,RNO,2026.5,264.71709999999973
DFW,RNO,2026.5,329.19530000000026
DAL,SLC,2026.5,235.54149999999987
DFW,SLC,2026.5,292.44400000000024
DAL,TUL,2026.5,201.06060000000005
DFW,TUL,2026.5,249.1715999999998
DAL,SAV,2026.5,235.3119999999996
DFW,SAV,2026.5,260.6764999999998
DAL,TYS,2026.5,392.26429999999937
DFW,TYS,2026.5,330.05400000000054
PIT,OAK,2026.5,237.59429999999983
PIT,SFO,2026.5,326.2322
PIT,SJC,2026.5,327.74610000000035
PIT,PIE,2026.5,97.9889000000001
PIT,TPA,2026.5,203.32459999999995
HSV,BWI,2026.5,304.13110000000006
HSV,DCA,2026.5,300.4994999999997
HSV,IAD,2026.5,223.1680000000003
ALB,BWI,2026.5,210.04310000000007
ALB,DCA,2026.5,233.7506
ALB,IAD,2026.5,245.92760000000013
ALB,MDW,2026.5,197.59249999999977
ALB,ORD,2026.5,244.9852999999995
ALB,FLL,2026.5,203.93120000000025
ALB,MIA,2026.5,274.8109000000004
ALB,BUR,2026.5,358.0744000000004
ALB,LAX,2026.5,384.6937000000001
ALB,LGB,2026.5,278.4373999999997
ALB,ONT,2026.5,357.46410000000003
ALB,SNA,2026.5,431.92559999999975
ALB,PIE,2026.5,118.28920000000016
ALB,TPA,2026.5,241.53639999999984
AMA,DAL,2026.5,173.6468000000002
AMA,DFW,2026.5,219.42499999999995
DEN,PHX,2026.5,176.59399999999968
DEN,BWI,2026.5,254.8246999999999
DEN,DCA,2026.5,231.4477000000001
