Predicted Passengers,Source Airport,Destination Airport,Quarter Year,Largest Carrier,Predicted Fare,carrier_lg,Revenue
244.79,CMH,IAH,2024.25,UA,297.9034000000002,UA,72923.77328600005
213.17,DFW,DSM,2024.25,AA,256.98790000000014,AA,54782.11064300003
1231.51,DFW,DTW,2024.25,AA,250.12409999999977,AA,308030.33039099973
136.62,CMH,IAD,2024.25,UA,209.1941999999999,UA,28580.111603999987
376.8,SAT,BWI,2024.25,WN,276.25099999999975,WN,104091.37679999991
473.68,ABQ,LAX,2024.25,WN,218.35950000000005,WN,103432.52796000002
150.47,CAE,LGA,2024.25,DL,251.96709999999956,DL,37913.489536999936
151.68,DFW,ECP,2024.25,AA,256.1674999999999,AA,38855.48639999999
454.97,SAN,TPA,2024.25,WN,256.4716000000003,WN,116686.88385200014
0.34,SWF,PHX,2024.25,AA,142.73569999999995,AA,48.53013799999999
101.51,SAT,SJC,2024.25,WN,255.85060000000033,WN,25971.394406000036
624.02,CMH,LAS,2024.25,WN,236.4563999999999,WN,147553.52272799992
2.0,SWF,PHF,2024.25,AA,264.3899000000001,AA,528.7798000000003
665.94,DEN,JFK,2024.25,DL,240.7834999999997,DL,160347.3639899998
244.35,SDF,EWR,2024.25,UA,210.8186,UA,51513.52491
274.13,CMH,MSP,2024.25,DL,285.99770000000035,DL,78400.54950100009
374.37,CMH,RSW,2024.25,WN,222.8828000000001,WN,83440.63383600004
259.71,CMH,SFO,2024.25,UA,319.61930000000024,UA,83008.32840300005
870.14,DEN,DCA,2024.25,F9,231.4477000000001,F9,201391.90167800008
593.13,SEA,BWI,2024.25,AS,309.33329999999984,AS,183474.8602289999
317.12,STL,BWI,2024.25,WN,233.91479999999973,WN,74179.06137599991
1229.65,DEN,EWR,2024.25,UA,296.3382000000002,UA,364392.26763000025
417.03,CHS,DCA,2024.25,AA,218.5988,AA,91162.257564
325.17,SDF,TPA,2024.25,WN,194.6644000000002,WN,63299.02294800007
952.88,DEN,FLL,2024.25,UA,258.18490000000037,UA,246019.22751200036
40.23,CMH,SJC,2024.25,WN,320.9200000000003,WN,12910.611600000011
720.53,STL,DCA,2024.25,WN,199.71950000000015,WN,143903.8913350001
18.81,SDF,SWF,2024.25,AA,105.8936999999999,AA,1991.8604969999978
25.28,CAK,FLL,2024.25,AA,180.40359999999987,AA,4560.603007999997
3326.13,DEN,PHX,2024.25,WN,176.59399999999968,WN,587374.6012199989
873.56,DEN,HOU,2024.25,WN,182.0515000000001,WN,159032.90834000008
178.95,SDF,MIA,2024.25,AA,252.6061999999997,AA,45203.87948999994
18.95,DEN,HPN,2024.25,AA,260.56779999999964,AA,4937.759809999993
91.37,ABQ,MDW,2024.25,WN,248.63970000000015,WN,22718.209389000014
35.66,ALB,SNA,2024.25,UA,431.92559999999975,UA,15402.466895999989
1254.01,DEN,IAD,2024.25,UA,278.0969000000005,UA,348736.29356900067
360.67,CMH,SEA,2024.25,AS,274.9912000000002,AS,99181.07610400008
1659.3,DEN,IAH,2024.25,UA,232.38030000000015,UA,385588.63179000025
215.75,SDF,PHX,2024.25,WN,304.22520000000003,WN,65636.58690000001
108.84,STL,IAD,2024.25,UA,267.44620000000003,UA,29108.844408000004
214.05,CMH,SAN,2024.25,WN,310.96439999999996,WN,66561.92981999999
0.95,CAK,EWR,2024.25,UA,319.52029999999945,UA,303.5442849999995
239.86,ALB,TPA,2024.25,WN,241.53639999999984,WN,57934.92090399996
11.95,DEN,ISP,2024.25,WN,280.8154000000001,WN,3355.744030000001
42.44,SDF,PIE,2024.25,G4,88.20969999999994,G4,3743.619667999997
96.61,RNO,OAK,2024.25,WN,174.70950000000028,WN,16878.684795000026
2.01,SWF,SMF,2024.25,AA,250.05069999999992,AA,502.6019069999998
314.77,DFW,PBI,2024.25,AA,368.3509,AA,115945.812793
30.18,ABQ,PVD,2024.25,WN,322.14739999999966,WN,9722.40853199999
148.13,DAL,MIA,2024.25,DL,232.34809999999985,DL,34417.724052999976
159.75,SMF,IAD,2024.25,UA,336.4097999999999,UA,53741.465549999986
161.27,DAL,MKE,2024.25,WN,215.3309000000001,WN,34726.41424300002
61.95,CVG,ONT,2024.25,AA,302.1454000000003,AA,18717.90753000002
116.09,SNA,PIT,2024.25,AA,363.8247999999998,AA,42236.42103199998
190.12,SMF,DCA,2024.25,AA,313.9609999999997,AA,59690.26531999994
0.0,CAK,HOU,2024.25,DL,542.6682999999999,DL,0.0
941.77,DEN,BWI,2024.25,WN,254.8246999999999,WN,239986.2577189999
40.67,RNO,IAD,2024.25,UA,400.8822,UA,16303.879074
96.74,CHS,HPN,2024.25,AA,150.64570000000026,AA,14573.465018000024
33.29,CAE,EWR,2024.25,AA,266.6028000000003,AA,8875.207212000008
51.2,DAL,DTW,2024.25,WN,234.94470000000004,WN,12029.168640000004
204.02,SNA,BNA,2024.25,WN,296.19850000000037,WN,60430.417970000075
509.46,CMH,DEN,2024.25,UA,226.01470000000023,UA,115145.44906200012
523.54,DFW,IND,2024.25,AA,284.8526,AA,149131.730204
379.18,CMH,DCA,2024.25,AA,183.14700000000008,AA,69445.67946000003
5.72,RSW,LGB,2024.25,B6,229.0789999999997,B6,1310.3318799999981
41.8,ATL,BUR,2024.25,WN,332.18199999999996,WN,13885.207599999998
4.92,SWF,RIC,2024.25,AA,107.2536,AA,527.687712
190.73,CAE,DCA,2024.25,AA,236.76819999999964,AA,45158.79878599993
0.39,DFW,ISP,2024.25,AA,125.65709999999996,AA,49.00626899999998
165.38,CMH,DAL,2024.25,WN,222.14769999999984,WN,36738.78662599997
480.92,DFW,JAX,2024.25,AA,280.25649999999973,AA,134780.95597999988
753.98,RSW,LGA,2024.25,DL,215.2737999999997,DL,162312.13972399978
5.04,SWF,RNO,2024.25,AA,211.27809999999985,AA,1064.8416239999992
579.52,DFW,JFK,2024.25,AA,246.47789999999995,AA,142838.87260799998
195.96,CMH,BWI,2024.25,WN,194.43660000000037,WN,38101.79613600008
24.25,RSW,ONT,2024.25,AA,361.7513,AA,8772.469025
196.9,RSW,LAX,2024.25,AA,372.33519999999976,AA,73312.80087999995
123.56,DAL,MEM,2024.25,WN,184.3350000000004,WN,22776.43260000005
1354.94,SNA,PHX,2024.25,WN,200.34140000000025,WN,271450.5765160003
202.12,DAL,ONT,2024.25,WN,239.22419999999963,WN,48351.99530399992
58.02,SNA,RNO,2024.25,WN,206.18809999999976,WN,11963.033561999988
854.46,SLC,SFO,2024.25,DL,222.0831000000002,DL,189761.12562600017
40.95,DAL,ORF,2024.25,WN,237.24369999999985,WN,9715.129514999995
4.34,CAK,STL,2024.25,AA,299.9913999999998,AA,1301.9626759999992
136.93,ALB,DCA,2024.25,AA,233.7506,AA,32007.469658
15.97,DAL,PBI,2024.25,DL,266.1200000000006,DL,4249.93640000001
64.48,DAL,PDX,2024.25,AS,268.82409999999965,AS,17333.777967999977
635.01,ABQ,PHX,2024.25,WN,191.3956,WN,121538.119956
7.35,CAK,MKE,2024.25,UA,315.80439999999976,UA,2321.162339999998
3.66,CAK,MSP,2024.25,AA,303.70250000000016,AA,1111.5511500000007
243.37,ACY,FLL,2024.25,NK,113.58400000000005,NK,27642.93808000001
480.04,CVG,PHX,2024.25,DL,267.0926999999999,DL,128215.17970799997
3.22,CAK,SNA,2024.25,UA,362.13759999999985,UA,1166.0830719999997
1.61,CAK,ONT,2024.25,AA,406.8573999999998,AA,655.0404139999997
131.46,SNA,PHL,2024.25,AA,382.88009999999986,AA,50333.41794599999
231.52,CVG,SFO,2024.25,DL,271.27190000000036,DL,62804.870288000086
1.63,CAK,OAK,2024.25,AA,336.67049999999983,AA,548.7729149999997
624.21,SNA,EWR,2024.25,UA,391.9354999999999,UA,244650.05845499993
245.61,DAL,MAF,2024.25,WN,200.53080000000003,WN,49252.36978800001
574.04,DAL,MCI,2024.25,WN,189.28539999999975,WN,108657.39101599985
131.93,SNA,DCA,2024.25,AA,397.6276000000006,AA,52459.00926800008
171.22,CVG,PIE,2024.25,G4,104.7902000000001,G4,17942.17804400002
198.11,ABQ,SFO,2024.25,UA,275.5635999999999,UA,54591.90479599998
44.46,CAK,MSY,2024.25,AA,315.80439999999976,AA,14040.66362399999
79.32,SNA,BWI,2024.25,WN,357.9302000000004,WN,28391.02346400003
8.38,ALB,BUR,2024.25,WN,358.07440000000037,WN,3000.6634720000034
908.29,DAL,MCO,2024.25,WN,198.63719999999975,WN,180420.18238799975
109.14,DAL,LIT,2024.25,WN,178.8314,WN,19517.658996000002
34.17,CMH,BUR,2024.25,WN,330.25689999999986,WN,11284.878272999997
29.64,CAE,BWI,2024.25,AA,259.5373999999998,AA,7692.688535999995
2.5,SWF,ROC,2024.25,AA,108.7462,AA,271.8655
25.18,DFW,HPN,2024.25,AA,292.2122999999996,AA,7357.9057139999895
620.52,DFW,IAD,2024.25,AA,256.3681999999997,AA,159081.5954639998
138.04,ABQ,JFK,2024.25,B6,249.1994000000004,B6,34399.48517600005
7.87,ABQ,ISP,2024.25,WN,284.6838000000006,WN,2240.4615060000046
135.04,DFW,LBB,2024.25,AA,234.1923999999999,AA,31625.341695999985
1836.98,ATL,BWI,2024.25,DL,169.96269999999976,DL,312218.0806459996
124.34,CLT,ONT,2024.25,AA,339.3111,AA,42189.942174
40.6,ROC,IAD,2024.25,UA,213.22100000000023,UA,8656.77260000001
1107.82,DFW,MSP,2024.25,AA,266.0425999999997,AA,294727.31313199963
185.51,ABQ,IAH,2024.25,UA,272.0276999999999,UA,50463.85862699999
585.51,DFW,MSY,2024.25,AA,208.82239999999976,AA,122267.60342399986
117.23,ROC,DCA,2024.25,AA,205.05380000000008,AA,24038.45697400001
1099.51,CLT,ORD,2024.25,AA,207.41540000000003,AA,228055.30645400003
471.69,SAN,BWI,2024.25,WN,308.6229000000003,WN,145574.33570100015
56.98,DFW,OAK,2024.25,AA,168.32450000000014,AA,9591.130010000008
911.26,ATL,CLE,2024.25,DL,184.0366,DL,167705.192116
389.15,CHS,JFK,2024.25,B6,206.16370000000015,B6,80228.60385500005
22.02,BZN,ONT,2024.25,DL,253.72349999999983,DL,5586.991469999996
72.89,ROC,BWI,2024.25,WN,198.86770000000013,WN,14495.466653000009
196.45,DFW,OKC,2024.25,AA,282.9987,AA,55595.094614999995
377.69,DFW,MKE,2024.25,AA,258.2186000000001,AA,97526.58303400004
317.02,DFW,OMA,2024.25,AA,250.8575999999999,AA,79526.87635199996
2.24,SWF,SLC,2024.25,DL,238.8057,DL,534.9247680000001
99.97,RNO,SJC,2024.25,WN,175.51479999999978,WN,17546.214555999977
26.64,CLT,OAK,2024.25,WN,267.90459999999985,WN,7136.978543999996
691.34,DFW,ONT,2024.25,AA,239.05149999999983,AA,165265.8640099999
158.95,RNO,SFO,2024.25,UA,234.66399999999973,UA,37299.842799999955
317.95,DFW,ORF,2024.25,AA,279.9655000000002,AA,89015.03072500006
0.35,SWF,SJC,2024.25,AA,258.2091000000002,AA,90.37318500000006
8.91,CAE,HPN,2024.25,AA,257.8855999999998,AA,2297.760695999998
432.33,CMH,DFW,2024.25,AA,293.1227000000003,AA,126725.73689100012
167.78,DFW,HOU,2024.25,AA,211.01529999999985,AA,35404.14703399997
